"verse-number"	"original-verse"	"translated-verse"	"original-verse-to-confirm"	"translated-verse-to-confirm"	"episode-number"	"is-last-verse"	"top-margin"	"indentation"	"story-title"	"episode-title"	"url"	"image-src"	"image-href"	"section-original-title"	"section-translated-title"	"vol-1-fixes (fhs)"	"vol-2-fixes (mc)"
17127	"“Qui cest bois est et ceste terre,"	"à qui appartiennent ce bois et ces terres,"															
17128	"“Qui venuz sont venoison querre."	"qui sont venus chasser le gibier,"															
17129	"“Mout sont a cheval et a pié,"	"qu'ils sont tous à cheval ou à pied,"															
17130	"“N'i a nul qui ne tiengne espié"	"munis d'une épée,"															
17131	"“Ou bon levier ou arc ou hache."	"d'un épieu, d'un arc ou d'une hache,"															
17132	"“Encui vodront fere donmage"	"et qu'ils ont l'intention de causer du tort"															
17133	"“Se il trovent sauvage beste,"	"aux bêtes sauvages qu'ils croiseront,"															
17134	"“Que li quens velt, contre la feste"	"car le comte veut être bien garni en gibier"															
17135	"“De Pentecoste, sa meson"	"pour la fête de la Pentecôte"															
17136	"“Mout bien garnir de venoison.”"	"qu'il organise chez lui."															
17137	"Quant cest barat dit li avras"	"Quand tu lui auras raconté ce mensonge,"															
17138	"Au miex que dire li savras,"	"du mieux que tu pourras,"															
17139	"Saches que il avra mout chier"	"sache qu'il sera bien content"															
17140	"Que tu li aides a couchier"	"que tu l'aides à se planquer"															
17141	"Et a covrir dedenz ta roie."	"et à s'enterrer dans l'un de tes sillons."															
17142	"Et tu le faiz, se il t'en proie,"	"Alors, aide-le s'il t'en prie,"															
17143	"Si fera il, ce sai je bien."	"ainsi qu'il le fera, j'en suis sûr."															
17144	"Ta coingnie pres de toi tien."	"Tiens ta cognée contre toi,"															
17145	"Quant bien le verras estendu"	"et quand il sera bien étendu,"															
17146	"Et .I. poi avras atendu,"	"attends un petit peu,"															
17147	"Ne sembles mie coart honme,"	"puis, sans jouer les peureux,"															
17148	"De la coingnie tost l'asonme,"	"assomme-le bien vite avec."															
17149	"Fier et frape, donne et redonne,"	"Frappe et refrappe, cogne et recogne,"															
17150	"Tant qu'il ait vremeille coronne."	"jusqu'à lui faire une tonsure bien rouge."															
17151	"Et le coutel de bone forge"	"Enfonce-lui alors ton couteau avec force"	"de bone forge"	"avec force"													
17152	"Li boute par desouz la gorge,"	"dans la gorge,"															
17153	"Si le lai durement saignier,"	"et laisse le saigner abondamment,"															
17154	"Miex vaudra la char a mengier."	"car sa chair n'en sera que meilleur à manger."															
17155	"Par nuit l'en menras en repost,"	"Tu l'emmèneras en cachette dans la nuit"															
17156	"Que domage i aroies tost,"	"pour éviter les ennuis,"															
17157	"Se li quens le pouoit savoir."	"car si le comte venait à l'apprendre,"															
17158	"Il te toudroit tot ton avoir,"	"il te confisquerait tous tes biens,"															
17159	"Il te feroit espoir desfere."	"et peut-être même te ferait tuer."															
17160	"Bones pieces en porras fere,"	"Tu en tireras donc de bons morceaux"															
17161	"En ton lardier le saleras,"	"à saler pour ton garde-manger,"															
17162	"Et de la pel fere porras"	"et avec la peau, tu pourras faire"															
17163	"Bones eschapes a fleaux."	"de bonnes attaches pour tes fléaux."															
17164	"Et gardes que soies loiaux"	"Mais veille à rester loyal,"															
17165	"De moi rendre le guerredon,"	"et à me donner ma récompense,"															
17166	"Qar tu en avras grenor don"	"car tu auras plus à gagner"															
17167	"De moi que de toi ne prandrai,"	"que moi dans l'affaire,"															
17168	"Qar Rougel quite te rendrai,"	"non seulement, tu récupéreras Rougel,"															
17169	"Et par moi avras l'ors en sel"	"et en plus, tu auras l'ours dans le sel"															
17170	"Tout coiement a ton ostel."	"bien tranquillement chez toi."															
17171	"Adonc avras bien esploitié. »"	"Tu t'en tireras vraiment bien. »"															
17172	"Bien a le vilain fait haitié"	"La ruse de Renart"															
17173	"La guile que Renart a dite,"	"a mis le paysan de bonne humeur,"															
17174	"Et li vilain mout s'en delite."	"ça l'amuse même beaucoup,"															
17175	"Onques si bonne n'ot oïe."	"jamais il n'en avait entendu une aussi bonne."															
17176	"Plus de .VC. foiz l'en mercie,"	"Liétart le remercie plus de cinq cents fois,"															
17177	"Ce dist Lietart : « A grant plenté"	"et lui dit : « Vous aurez autant"															
17178	"Avroiz a vostre volenté"	"de chapons, de poules et de coqs"															
17179	"Chapons et gelines et cois."	"que vous voudrez."															
17180	"A Dieu vos conmant, je m'en vois. »"	"Je vous recommande à Dieu, et je m'en vais. »"															
17181	"Einssi departent ambedui,"	"Sur ce, ils se séparent,"															
17182	"Et Brun li ors avra anui."	"c'est Brun l'ours qui va avoir des ennuis."				"x"											
17183	"Li vilains a l'ostel s'en vet,"	"Le paysan rentre chez lui,"			195			"x"		"Brun prend peur"	"2016/06/brun-prend-peur.html"	"https://2.bp.blogspot.com/-h5IZUn7YCB0/V-_S2ExuXoI/AAAAAAAAH1Y/3X2k8hSjntcV9NiO5CyrGZB990Ao0MMOgCLcB/s320/34i-brun-a-peur.jpg"					
17184	"Et Renart vers le bois se tret"	"et Renart se dirige vers le bois"															
17185	"Que il amoit plus que le plain."	"qu'il préfère à la plaine."															
17186	"Si a esbaudi le vilain"	"La ruse de Renart"															
17187	"La guile que Renart a faite."	"réjouit le paysan,"															
17188	"De noient plus ne se deshaite,"	"plus rien ne le décourage,"															
17189	"Ainz a le cuer lié et joiant."	"au contraire, son cœur est plein de joie."															
17190	"A son ostel s'en va riant,"	"Il marche en riant vers sa maison,"															
17191	"Que il cuide bien sanz tarder"	"où il se voit déjà"															
17192	"Avoir char d'ors en son larder."	"avec la viande de l'ours dans son garde-manger."															
17193	"Tantost conme l'aube creva,"	"Quand l'aube pointe,"															
17194	"Li vilain tantost se leva,"	"le paysan se lève aussitôt,"															
17195	".I. bon coutel mist soz sa chape."	"et met un bon couteau sous son manteau."															
17196	"Se Brun li ors vis en eschape,"	"Si Brun l'ours en réchappe vivant,"															
17197	"Dont ne vaut il mie une alie."	"c'est qu'il ne sera qu'un bon à rien."	"Dont ne vaut il mie une alie"	"c'est qu'il n'est qu'un bon à rien"													
17198	"Une tranchant coingnie a prise"	"Il prend une cognée bien tranchante"															
17199	"Qu'il mist soz sa chape a celé."	"qu'il dissimule aussi sous son manteau,"															
17200	".I. garçonnet a apelé,"	"et appelle un valet."															
17201	"Avis li est que trop demeure ;"	"Mais il trouve le temps long,"															
17202	"Il ne cuide ja veoir l'eure"	"il voudrait déjà être en train"															
17203	"Qu'il ait a son tranchant coutel"	"de retrousser la peau de l'ours"															
17204	"A Brun l'ors reversé la pel."	"avec le tranchant de son couteau."															
17205	"Ses bues chace tant con il pot,"	"Il pique ses bœufs autant qu'il peut,"															
17206	"A son essart en vint le trot."	"et va au trot vers son essart."															
17207	"Et le coutel et la coingnie"	"Le couteau et la cognée"															
17208	"A soz sa chape bien mucie,"	"toujours bien cachés sous son manteau,"															
17209	"Tantdis con entent a arer,"	"il se met à labourer."															
17210	"Brun ne se volt plus atarder"	"Brun ne tarde pas davantage,"															
17211	"Qui sot du bois tout le trespas,"	"il connaît tous les sentiers du bois,"															
17212	"A l'essart vint plus que le pas"	"et arrive à l'essart au pas de course"															
17213	"Des piez derriere regibant."	"en jetant ses pattes vers l'arrière."															
17214	"Mes il ne set qu'a l'ueil li pent,"	"Il ne se doute pas de ce qu'il lui pend au nez,"															
17215	"Bien cuide que Rougieus son soit."	"et s'imagine déjà en possession de Rougel."															
17216	"Vers la charue vint tot droit,"	"Il va droit sur la charrue,"															
17217	"A haute voiz Lietart escrie :"	"et interpelle Liétart à haute voix :"															
17218	"« Deslie, va, le buef deslie."	"« Allez, détache donc ton bœuf."															
17219	"Por coi l'as tu soz le joc mis ?"	"Pourquoi l'as-tu mis sous le joug ?"															
17220	"Tu nel m'avoies pas pramis,"	"Tu me l'avais pourtant promis"															
17221	"Desloial vilain deputaire,"	"au lieu de le faire tirer,"															
17222	"Que tu le buef feïsses traire !"	"sale traître de paysan !"															
17223	"Tu as or fet ce que te plot. »"	"Tu en as encore fait qu'à ta tête. »"															
17224	"Lietart qui bien fere le sot"	"Liétart, qui sait parfaitement jouer les sots,"															
17225	"D'ome coart chierre et semblant,"	"fait mine d'avoir peur,"															
17226	"Li respont basset en tremblant :"	"et lui répond tout bas en tremblant :"															
17227	"« Sire, ne soiez pas iriez."	"« Seigneur, ne vous fâchez pas."															
17228	"Rougieus n'est gueres enpiriez,"	"Rougel ne s'en porte pas plus mal,"															
17229	"Orendroit le vos amerroie"	"je vous le rendrai aussitôt"															
17230	"Quant seré au chief de ma roie."	"que je serai au bout de mon sillon,"															
17231	"Ma roie me lessiez parfere. »"	"laissez-moi juste le terminer. »"															
17232	"Renart qui tout icest afere"	"Renart suit toute la scène"															
17233	"A veu de pres et espïé,"	"de près avec attention."															
17234	".I. lonc cor qu'il avoit lïé"	"Il a un long cor attaché"															
17235	"A son col, mist le a sa bouche,"	"à son cou, il le porte à sa bouche"															
17236	"Et si tres durement le touche"	"en le tenant fermement,"															
17237	"Et conmence a corner si haut"	"puis, se met à souffler si fort dedans,"															
17238	"Que retentir en fait le gaut."	"qu'il retentit dans tout le bois."															
17239	"Et quant le corner li ennuie,"	"Après avoir bien sonné le cor,"															
17240	"Si s'escrie forment et huie"	"il se met alors à pousser des cris et des huées"															
17241	"Aussi con venerre qui chace"	"comme le feraient les veneurs à la chasse,"															
17242	"Qui envoie ses chiens en trace."	"quand ils envoient leurs chiens sur des traces."															
17243	"Mout fu grant la noise et li bruis,"	"Quel bruit ! Quel vacarme !"															
17244	"Que mout en fu Renart bien duis"	"Renart est tellement doué"	"duis"	"doué / expérimenté"													
17245	"Et de corner et de huier,"	"pour le cor et les huées"															
17246	"A Brun conmence a ennuier"	"que Brun commence à s'inquiéter"															
17247	"Le bruit et la noise qu'il ot."	"en entendant tout ce tapage."															
17248	"Mes mie ne li sist ne plot,"	"Ça ne lui plaît pas du tout"															
17249	"Ne la vosist pas ore oïr,"	"ça n'est vraiment pas le moment,"	"Ne la vosist pas ore oïr"	"ça n'est vraiment pas le moment"													
17250	"Qar il en cuide mal joïr."	"et il redoute que ça tourne mal pour lui."															
17251	"Mout s'esmaie, mout se merveille,"	"Il est aussi étonné qu'inquiet,"															
17252	"Longuement escoute et oreille."	"il tend l'oreille un long moment,"															
17253	"Quant plus oreille et escoute,"	"mais plus il écoute,"															
17254	"De tant se crient il plus et doute."	"plus il craint pour lui."															
17255	"Mout crient que li chien ne l'asaille"	"Il a très peur que les chiens l'attaquent,"															
17256	"Et que li venieres nel baille."	"et que les veneurs le prennent."															
17257	"De peor tranble, a Lietart vient,"	"Tremblant de peur, il s'approche de Liétart,"															
17258	"De Rougiel plus ne li sovient."	"sans se soucier de Rougel,"															
17259	"N'a or talent que le deslit,"	"peu importe qu'il soit détaché ou pas,"															
17260	"Simplement et bas li a dit :"	"et lui dit humblement :"															
17261	"« Or me di, Lietart, ne t'anuit,"	"« Dis-moi donc, Liétart, sans vouloir t'ennuyer,"															
17262	"Qui a ceste noise et cest bruit"	"qui se met donc à faire tout ce vacarme"															
17263	"Conmencié en ceste forest ?"	"dans cette forêt ?"															
17264	"Por Dieu di le moi, s'il te plest,"	"Pour l'amour de Dieu, dis-le-moi s'il te plaît,"															
17265	"Par tel covent que miex t'en soit. »"	"et je te promets d'être arrangeant. »"	"Par tel covent que miex t'en soit"	"et je te promet d'être arrangeant"													
17266	"Lietart qui tantdis s'apensoit"	"Liétart réfléchissait déjà"															
17267	"De respondre Brun par savoir"	"comment dire la chose savamment à Brun"															
17268	"Tel chose qui resemblast voir,"	"pour que ça semble vrai,"															
17269	"Li dist a loi d'onme recuit :"	"il lui répond comme celui qui sait :"	"a loi d'onme recuit"	"comme celui qui sait"													
17270	"« Je t'en diré ce que j'en cuit."	"« Je vais te dire ce que j'en crois."															
17271	"Je oï dire a .I. ribaut,"	"J'ai entendu dire par un valet,"	"ribaut"	"valet"													
17272	"C'est la gent au conte Tibaut"	"que la suite du comte Thibaut,"															
17273	"Par qui la terre est maintenue,"	"qui possède cette terre,"															
17274	"Qu'en ceste forest est venue"	"est venue dans la forêt,"															
17275	"Qui est au conte toute quite ;"	"qui appartient également au comte."															
17276	"A toute gent est contredite"	"Elle est interdite à quiconque"															
17277	"Fors sol au conte et a sa gent."	"excepté le comte lui-même et ses gens."															
17278	"S'on i trovoit honme chaçant,"	"Si on y trouvait quelqu'un en train de chasser,"															
17279	"Li quens le feroit tantost pendre,"	"le comte le ferait pendre sur-le-champ,"															
17280	"Que ja ne l'en porroit desfendre"	"sans que rien ne puisse l'en empêcher,"															
17281	"Force d'amis ne gentillece,"	"ni amis, ni nobles,"	"gentillece"	"noble"													
17282	"Avoir, proiere ne pramesse."	"ni argent, ni prières, ni promesses."															
17283	"C'est, ce cuit, sa mesnie tote"	"Je crois que c'est sa suite au grand complet"															
17284	"Qu'il amena une grant route."	"qu'il emmène sur la grand-route,"															
17285	"Venu sont au matin chacier."	"ils sont arrivés ce matin pour la chasse."															
17286	"Chascun porte .I. espié d'acier,"	"Les uns portent une épée en acier,"															
17287	"Li autre arc et saetes tiengnent,"	"et les autres un arc et des flèches."															
17288	"Par les bestes traiant s'en viengnent"	"Ils tirent sur toutes les bêtes qui passent,"															
17289	"Si lor donnent maint mortieus cox."	"avant de leur donner le coup de grâce."															
17290	"Li autre ont lor cors a lor cox"	"D'autres sonnent le cor qu'ils portent"															
17291	"Qui cornent et li autre huient."	"à leur cou, ou poussent des huées."															
17292	"Les bestes par le bois s'en fuient,"	"Les bêtes fuient à travers bois,"															
17293	"Et cil qui tiengnent les levriers"	"tandis que ceux qui conduisent les lévriers"	"les levriers enchaannez"	"la meute de léviers"													
17294	"Et granz chiens fors enchaannez"	"et des gros chiens en laisse,"	"Et granz chiens fors enchaannez"	"et des gros chiens en laisse"													
17295	"Corent par le bois a eslez,"	"les poursuivent à vive allure."															
17296	"Et li quens meïsmes aprés"	"Le comte lui-même leur court après"															
17297	"Sor .I. chaceor qui tost cort,"	"sur un cheval de chasse très rapide."															
17298	"Car de venoison velt sa cort"	"Il veut garnir sa cour de gibier"															
17299	"Garnir a ceste Pentecoste,"	"pour la Pentecôte."															
17300	"Qui chascun an .C. mars li coste"	"Ça lui coûte cent marcs chaque année,"															
17301	"Et ouan plus li costera,"	"mais ça sera plus cette année,"															
17302	"Qar je cuit que li quens fera"	"car je crois qu'il va armer"															
17303	"Noviax chevaliers jusque a .XX."	"vingt nouveaux chevaliers."															
17304	"Mes pieça si grant cort ne tint"	"Il y a longtemps qu'il a tenu une cour aussi grande"															
17305	"Con il voudra ouan tenir,"	"que cette année,"															
17306	"Qar a sa cort voudra tenir"	"car il veut réunir"															
17307	"Le miex de sa chevalerie"	"les meilleurs de ses chevaliers"															
17308	"Qui est desouz sa seingnorie."	"qui servent Sa Seigneurie."															
17309	"Por ce est la chose si prise. »"	"Voilà pourquoi tout ce remue-ménage ! »"	"Por ce est la chose si prise"	"Voilà pourquoi tout ce remue-ménage"		"x"											
17310	"Si grant peor est a Brun prise"	"Brun est pris d'une si grande peur"			196					"Le coup de massue"	"2016/06/le-coup-de-massue.html"	"https://4.bp.blogspot.com/-PZDFC6PAwVM/V-_S2GjfxkI/AAAAAAAAH1c/r2FuvfsssaIeBaMeo7wZLYbVrkjr1AG2gCLcB/s320/34j-coup-de-massue.jpg"					
17311	"Qu'il ne se pot mes sostenir,"	"qu'il a du mal à tenir debout,"															
17312	"A terre le covint venir :"	"et doit se mettre par terre :"															
17313	"« Lietart, fet il, par ta merite,"	"« Liétart, fait-il, tu mérites"															
17314	"Je te clameré trestot quite"	"que je te déclare quitte sur-le-champ."															
17315	"Et que je tes vrais amis soie,"	"Soyons donc de vrais amis,"	"Et que je tes vrais amis soie"	"Soyons donc de vrais amis"													
17316	"Lai moi couchier en cele roie"	"laisse-moi me coucher dans ce sillon,"															
17317	"Et de la terre bien me couvre."	"et recouvre-moi bien de terre."															
17318	"Por Dieu te pri, ne me descovre,"	"Ensuite, je t'en prie, par Dieu, ne me découvre pas,"															
17319	"A ces veneors ne m'ensaigne."	"et ne me dénonce pas aux chasseurs,"															
17320	"Se il avient que l'en me prangne,"	"car s'ils venaient à me prendre,"															
17321	"Escorchier me fera li quens."	"le comte me ferait écorcher vif."															
17322	"— Dant Brun, dist Lietart, toz voz bons"	"— Seigneur Brun, dit Liétart, je suis disposé"															
17323	"Sui ge apareilliez du fere,"	"à faire tout ce que vous voudrez,"															
17324	"Mes il vos covient mout bien tere"	"mais vous devez vous taire maintenant"															
17325	"C'aucuns veneres ne vos oie."	"pour qu'aucun des veneurs ne vous entende."															
17326	"Li quens en aroit mout grant joie,"	"C'est le comte qui serait très content"															
17327	"S'avoir vos pooit a sa feste. »"	"de pouvoir vous avoir pour sa fête. »"															
17328	"En mi une roie s'areste"	"Mort de peur, Brun l'ours"															
17329	"Brun li ors qui se doute tant,"	"s'arrête au milieu d'un sillon,"															
17330	"Dedenz se couche, si s'estent."	"et s'allonge dedans de tout son long."															
17331	"Bien li semble qu'eschapez ert"	"Il pense qu'il va échapper"															
17332	"Des veneors, mes sa mort quert."	"aux veneurs, mais il court à sa perte."	"sa mort quert"	"il court à sa perte"													
17333	"Il cuide estre de la mort loing"	"Il s'imagine être à l'abri de la mort,"															
17334	"Mes ele li est pres au groing,"	"mais elle lui pend au museau,"															
17335	"Qar tiex cuide eschiver sa mort"	"tout comme à ceux, qui croyant l'esquiver,"															
17336	"Qui l'aprime et aprouche fort."	"s'en rapproche dangereusement."															
17337	"Eschapez cuide estre por voir,"	"Il se croit sorti d'affaire,"															
17338	"Mes il s'aïde a decevoir."	"mais il ne fait que se tromper lui-même."															
17339	"Lietart a qui la noise plest"	"Liétart se réjouit de tout le tintamarre"															
17340	"Que Renart fait par la forest"	"que Renart fait à travers la forêt."															
17341	"De ses .II. mains sa face tient,"	"Il enfouit son visage dans ses mains,"															
17342	"De rire a paine se retient,"	"et se retient de rire avec peine,"															
17343	"Que mout grant joie a eü"	"tellement il est content"															
17344	"De Rougiel qu'i li a rendu,"	"d'avoir récupéré Rougel."															
17345	"Si l'acoilli lors a covrir"	"Il se met alors à recouvrir l'ours"															
17346	"De la terre par grant aïr,"	"de terre avec empressement,"															
17347	"Et cors et croupe li enserre."	"il lui ensevelit le corps y compris la croupe."															
17348	"Sa coingnie pres de lui serre"	"Il serre sa cognée"															
17349	"Et son coutel pres de lui met,"	"et son couteau contre lui,"															
17350	"De lui bien covrir s'entremet."	"tout en le recouvrant."															
17351	"Quant il fu auques bien covers,"	"Quand l'ours est bien camouflé,"															
17352	"Les eulz que il tenoit overs"	"il lui ordonne de fermer les yeux"															
17353	"Li a conmandé que il cloe."	"qu'il tenait encore ouverts."															
17354	"Et il fet ce que il li loe,"	"Brun fait comme il lui dit"															
17355	"Que Brun a nul mal li esgarde."	"sans prendre garde au danger."															
17356	"Lietart plus de rien ne se tarde,"	"Liétart ne perd pas de temps,"															
17357	"A .II. mains hauce la coingnie,"	"il prend sa cognée à deux mains,"															
17358	"De soi l'a forment esloingnie,"	"et l'éloigne de lui"															
17359	"Si la hauce por miex ferir."	"tout en la levant pour mieux frapper."															
17360	"A l'ours vodra il ja merir"	"Il veut faire payer l'ours"															
17361	"Le grant orgoil et le dangier"	"pour l'outrecuidance et les misères"															
17362	"Qu'il li mena de son buef hier."	"qu'il lui a faites hier à cause de son bœuf."															
17363	"Quant il l'ot mout bien avisé"	"Il ajuste bien son coup,"															
17364	"Son coup a loi d'ome sené,"	"en homme expérimenté,"															
17365	"Qui de faillir se doutoit trop,"	"car il ne veut surtout pas le rater."															
17366	"Sor la teste jete son cop,"	"Puis, il porte le coup sur la tête."															
17367	"Fiert et refiert de tel aïr"	"Il frappe et refrappe avec une telle fureur"															
17368	"Qu'il en a fait le sanc saillir."	"que le sang jaillit."															
17369	"Tel coup li donne de rechief"	"Il assène un autre coup si fort"															
17370	"Que tot li a brisié le chief."	"qu'il lui brise complètement le crâne."															
17371	"Il ne le crient mes ne ne doute,"	"Il n'a plus rien à craindre de lui maintenant,"															
17372	"Par desouz la gorge li boute"	"et lui enfonce dans la gorge"															
17373	"Le bon coutel qui souef tranche."	"son couteau qui rentre net."	"souef tranche"	"rentre net"													
17374	"Maintenant de l'orgoil se venche,"	"Pour se venger de son arrogance,"															
17375	"Que il ne l'en espargna point,"	"non content d'en rester là,"	"Que il ne l'en espargna point"	"non content d'en rester là"													
17376	"Et desiques au cuer le point"	"il lui transperce le cœur."															
17377	"Si que li sanc li cort a raie"	"Tout le sang de son corps"															
17378	"De tot le cors par mi la plaie."	"s'écoule par la plaie dans le sillon,"															
17379	"Bien et forment saingnier le fait."	"il le saigne à blanc."															
17380	".I. pou en sus de lui le trait"	"Puis, il le tire un peu vers lui,"															
17381	"A paine, que mout ert pesanz."	"mais avec peine, car il est très lourd."															
17382	"N'en fera mie granz presenz,"	"Il n'en fera cadeau à personne,"															
17383	"Par lui nel savra nus qui soit."	"et ça n'est pas lui qui en parlera."															
17384	"Por riens nule ne le diroit"	"Il ne le dira pour rien au monde,"															
17385	"Que nus de ses voisins seüst"	"aucun de ses voisins ne saura"															
17386	"Qu'en son larder char d'ors eüst."	"qu'il y a de la viande d'ours dans son garde-manger."															
17387	"Au miex le covre que il puet,"	"Il le recouvre le mieux possible,"															
17388	"Et tantost a l'ostel s'esmuet."	"et rentre aussitôt à la maison,"															
17389	"Liez fu et si fist bele chierre,"	"la mine radieuse, tout content de lui."															
17390	"Sa moillier que il ot mout chierre"	"Il appelle aussitôt sa femme chérie,"															
17391	"En une chambre tost apele,"	"qui se trouve dans une chambre,"															
17392	"Si li a dit : « M'amie bele,"	"et lui dit : « Ma douce amie,"															
17393	"Qui emprés Dieu me fetes vivre,"	"vous qui, après Dieu, êtes ma raison de vivre,"															
17394	"Voirement dist voir a delivre"	"sachez que le paysan a bien raison"															
17395	"Li vilains qui par tot ce dit"	"de dire qu'en toute chose,"															
17396	"Qu'i n'est si grant max qui n'aït,"	"il n'y a pas de malheur sans réconfort,"															
17397	"Ne bien qui ne nuise par heures."	"ni de bonheur sans nuisance."															
17398	"Se Diex me dont plenté de meures"	"Aussi vrai que Dieu me donne tant de mûres"															
17399	"En mon plessié por moré fere"	"dans mon enclos pour faire une liqueur"															
17400	"Tel qu'il puisse a riche honme plere,"	"qui plaît aux riches,"															
17401	"Je vos puis bien dire por voir,"	"je peux vous affirmer"															
17402	"Et que ja oublïé ne soit,"	"qu'il ne faut jamais oublier cette vérité,"															
17403	"Par la grant foi que je vos doi,"	"et avec toute la confiance que je vous dois,"															
17404	"Et si vos diré bien por coi."	"je vais vous dire pourquoi."															
17405	"Bien cuidai avoir mon mal quis,"	"Je pensais bien avoir mérité mon malheur,"															
17406	"Quant hier matin a Rougel dis,"	"quand j'ai dit hier matin à Rougel,"															
17407	"Por ce que treoit lentement,"	"qui tirait trop lentement,"															
17408	"Que max ors sanz arestement"	"que le méchant ours pouvait bien"															
17409	"Le menjast et le me tousist."	"le prendre sans plus attendre pour le manger."															
17410	"Et tout maintenant Brun s'asist"	"C'est alors que Brun est arrivé"															
17411	"Joste moi et si le vint querre."	"vers moi pour me le réclamer."															
17412	"Sa felonnie et sa guerre"	"J'aurais fait les frais de sa cruauté et sa combativité"															
17413	"De moi et du mien comperasse,"	"en payant de mes biens et ma personne,"															
17414	"Se je a lui ne m'acordasse."	"si je n'avais pas accepté."															
17415	"Il me prist si a menacier,"	"Il s'est mis à me menacer,"															
17416	"Et je le soi si enlacier"	"mais j'ai réussi à l'embobiner"	"enlacier"	"embobiner"													
17417	"De blanches paroles et pestre,"	"en l'abreuvant de bonnes paroles,"	"pestre"	"abreuver"													
17418	"Que j'en ai esté a bon mestre,"	"car j'ai été à bonne école,"															
17419	"De bien lober bon mestre sui."	"et je suis maître dans l'art de flatter."															
17420	"Respit me donna jusque a hui."	"Il m'a alors accordé un délai jusqu'à aujourd'hui."															
17421	"Por coi feroie je lonc conte ?"	"Mais, à quoi bon faire de longs discours !"															
17422	"Renart qui de bien fere a honte"	"Renart qui n'a pas honte de mal faire,"															
17423	"Tel guille hui matin m'aprist,"	"m'a enseigné une telle ruse ce matin,"															
17424	"Par coi dant Brun orendroit gist"	"que seigneur Brun gît maintenant"															
17425	"Mort et covert dedenz ma roie."	"mort, dissimulé dans un de mes sillons."															
17426	"Mes or me conseille et avoie"	"J'ai maintenant besoin de tes conseils"															
17427	"Conment il ne soit ja seü,"	"pour qu'on ne le sache pas,"															
17428	"Que s'il estoit aperceü"	"car s'il était découvert"															
17429	"Du conte ou de ses serjanz,"	"par le comte ou un de ses serviteurs,"															
17430	"Ne nos garroit ors ne argenz"	"ni or ni argent ne nous protégerait"															
17431	"Que nos ne fussons afolé. »"	"d'une mort certaine. »"				"x"											
17432	"Mout doucement l'a acolé"	"Elle l'entoure doucement de ses bras,"			197					"Le conseil de la paysanne"	"2016/06/le-conseil-de-la-paysanne.html"	"https://1.bp.blogspot.com/-fQLDjTu47jk/V-_S2e-DalI/AAAAAAAAH1g/oR0elt54ZkoxtEPDgfqJtiRRZ_tmqfyiQCLcB/s320/34k-conseil-de-paysanne.jpg"					
17433	"Cele qui mout savoit de lobe."	"car elle sait très bien le cajoler."															
17434	"Miex valoit que toute la robe"	"Sa seule guimpe vaut plus"															
17435	"Au vilain seulement sa guimple,"	"que tous les vêtements du paysan,"															
17436	"Que trové l'avoit fol et simple."	"qu'elle trouve par ailleurs un peu simple et ignorant."															
17437	"Ne li ose dire ne fere"	"Il n'oserait jamais dire ou faire"															
17438	"Chose qui li deüst desplere."	"quelque chose qui pourrait lui déplaire."															
17439	"Et desus le vilain ert dame"	"Elle a toujours le dessus sur le paysan,"															
17440	"Por ce qu'ele estoit gentil fame."	"car c'est une femme de la noblesse."															
17441	"Si li respondi en riant :"	"Alors, elle lui répond en souriant :"															
17442	"« Certes tout au mien escïent"	"« Certainement, je vais vous conseiller"	"tout au mien escïent"	"du mieux que je sache"													
17443	"Vos donré je conseil, biau sire,"	"du mieux que je sache, mon cher époux,"	"biau sire"	"mon cher époux"													
17444	"De ce que vos ai oï dire."	"après ce que vous venez de me raconter."															
17445	"Enquenuit, devant l'ajornee,"	"Cette nuit, avant le point du jour,"						"x"									
17446	"Soit une charrete atornee,"	"faites préparer une charrette"															
17447	"Et je et vos et Costancete"	"avec laquelle nous partirons,"															
17448	"Le metromes en la charete."	"vous, Constancette et moi-même."															
17449	"Et nostre garçon Triboulez"	"Notre valet Triboulet"															
17450	"Ert ovec nos, se vos volez,"	"viendra aussi avec nous, si vous êtes d'accord,"															
17451	"Car espoir trop nos greveroit,"	"car on aura beaucoup de mal avec l'ours"															
17452	"Por ce que trop pesant seroit."	"s'il s'avère trop lourd."															
17453	"Einssi porrons nos esploitier."	"On pourra y arriver ainsi."															
17454	"Nus ne nos porra agaitier"	"Il n'y aura personne pour nous épier"															
17455	"A cele heure, que nus nel set,"	"à cette heure-ci, car nul n'est au courant,"															
17456	"Ne nus, Diex merciz, ne nos het. »"	"et aucun ne nous veut du mal, Dieu merci. »"	"ne nos het"	"ne nous veut du mal"													
17457	"Quant ele ot ce dit, si le bese."	"Puis, elle l'embrasse après avoir dit cela."															
17458	"Mout par est le vilain a ese"	"Le paysan est bien aise"															
17459	"De ce que sa fame dit ot."	"de ce que sa femme vient de dire."															
17460	"Du bon conseil de lui s'esjot,"	"Il se réjouit de ce bon conseil,"															
17461	"Bien set ne porroit fere miex."	"car il sait bien qu'il n'aurait pu trouver mieux."															
17462	"La bouche li bese et les eulx."	"Il l'embrasse sur la bouche et les yeux."															
17463	"N'a talent c'autre conseil praigne,"	"Point besoin de chercher d'autre conseil ailleurs !"															
17464	"Si li a dit : « Bele compaingne,"	"Alors, il lui dit : « Ma chère compagne,"															
